Карта;Название рус.;Раритетность;Издание;Цвет;Тип;Язык;Состояние;Фойл;Кол-во;Кол-во на продажу;Цена;Комментарий
Gamble;---;Rare;uma;R;sorcery;en;NM;0;1;1;1218;
Fauna Shaman;---;Rare;uma;G;creature;en;NM;0;1;1;862;
Countersquall;---;Uncommon;uma;UB;instant;en;NM;0;1;1;52;
Fulminator Mage;---;Rare;uma;BR;creature;en;NM;0;1;1;147;
Ancient Tomb;---;Rare;uma;;land;en;NM;0;1;1;3270;
Celestial Colonnade;---;Rare;uma;;land;en;NM;0;1;1;307;
Desolate Lighthouse;---;Rare;uma;;land;en;NM;0;1;1;31;
Growth Spiral;Спираль Роста;Common;rna;UG;instant;ru;NM;0;1;1;30;
Lavinia, Azorius Renegade;Лавиния, Отступница Азориусов;Rare;rna;WU;legendary creature;ru;NM;0;9;9;55;
Simic Ascendancy;Возвышение Симиков;Rare;rna;UG;enchantment;ru;NM;0;3;3;145;
The Haunt of Hightower;Напасть Высокой Башни;Mythic Rare;rna;B;legendary creature;ru;NM;0;1;1;250;
Bedevil;Терзания;Rare;rna;BR;instant;ru;NM;0;4;4;124;
Emergency Powers;Чрезвычайные Полномочия;Mythic Rare;rna;WU;instant;ru;NM;0;1;1;60;
Zegana, Utopian Speaker;Зегана, Утопийский Оратор;Rare;rna;UG;legendary creature;ru;NM;0;2;2;31;
Mass Manipulation;Управление Массами;Rare;rna;U;sorcery;ru;NM;0;2;2;44;
Sphinx of Foresight;Сфинкс Предвидения;Rare;rna;U;creature;ru;NM;0;4;4;35;
Amplifire;Сверхогонь;Rare;rna;R;creature;ru;NM;0;4;4;19;
Absorb;Поглощение;Rare;rna;WU;instant;ru;NM;0;1;1;21;
Deputy of Detention;Заведующая Задержаниями;Rare;rna;WU;creature;ru;NM;0;4;4;67;
Deputy of Detention;Заведующая Задержаниями;Rare;rna;WU;creature;ru;NM;1;1;1;160;
Hydroid Krasis;Гидроидный Красис;Mythic Rare;rna;UG;creature;ru;NM;0;5;5;854;
Breeding Pool;Нерестовая Лужа;Rare;rna;;land;ru;NM;0;1;1;1572;
Hallowed Fountain;Освященный Фонтан;Rare;rna;;land;ru;NM;0;1;1;563;
Hallowed Fountain;Освященный Фонтан;Rare;rna;;land;ru;SP;0;1;1;583;
Smothering Tithe;Удушливая Подать;Rare;rna;W;enchantment;ru;NM;0;3;3;2168;
Pestilent Spirit;Болезнетворный Дух;Rare;rna;B;creature;ru;NM;0;1;1;31;
End-Raze Forerunners;Вестники Последнего Разрушения;Rare;rna;G;creature;ru;NM;0;1;1;61;
Biomancer's Familiar;Питомец Биоманта;Rare;rna;UG;creature;ru;NM;0;2;2;63;
Prime Speaker Vannifar;Главный Оратор Ваннифар;Mythic Rare;rna;UG;legendary creature;ru;NM;0;1;1;190;
Unbreakable Formation;Нерушимый Строй;Rare;rna;W;instant;ru;NM;0;1;1;64;
Essence Capture;Сбор Эссенции;Uncommon;rna;U;instant;ru;NM;1;1;1;64;
Mesmerizing Benthid;Завораживающий Бентид;Mythic Rare;rna;U;creature;ru;NM;0;4;4;60;
Pteramander;Птеромандра;Uncommon;rna;U;creature;ru;NM;0;4;4;27;
Verity Circle;Круг Истины;Rare;rna;U;enchantment;ru;NM;0;4;4;32;
Awaken the Erstwhile;Пробуждение Былых;Rare;rna;B;sorcery;ru;NM;0;4;4;32;
Font of Agonies;Источник Мучений;Rare;rna;B;enchantment;ru;NM;0;4;4;34;
Priest of Forgotten Gods;Жрица Забытых Богов;Rare;rna;B;creature;ru;NM;0;2;2;226;
Mirror March;Зеркальный Марш;Rare;rna;R;enchantment;ru;NM;0;4;4;71;
Biogenic Ooze;Биогенная Слизь;Mythic Rare;rna;G;creature;ru;NM;0;3;3;293;
Guardian Project;Проект «Стражник»;Rare;rna;G;enchantment;ru;NM;0;4;4;786;
Incubation Druid;Друид Инкубации;Rare;rna;G;creature;ru;SP;0;1;1;84;
Rampage of the Clans;Неистовство Кланов;Rare;rna;G;instant;ru;NM;0;3;3;32;
Cindervines;Пепельные Лианы;Rare;rna;RG;enchantment;ru;NM;0;2;2;77;
Ethereal Absolution;Духовное Прощение;Rare;rna;WB;enchantment;ru;NM;0;1;1;41;
Final Payment;Окончательная Расплата;Common;rna;WB;instant;ru;NM;1;1;1;32;
Kaya's Wrath;Гнев Кайи;Rare;rna;WB;sorcery;ru;NM;0;1;1;63;
Repudiate - Replicate;Отречение - Повторение;Rare;rna;UG;instant sorcery;ru;NM;0;1;1;56;
Thrash - Threat;Оплеуха - Острастка;Rare;rna;RG;instant sorcery;ru;NM;0;3;3;23;
Tome of the Guildpact;Фолиант Договора Гильдий;Rare;rna;;artifact;ru;NM;0;2;2;32;
Mortify;Унижение;Special;fnmp;WB;instant;ru;NM;1;1;1;53;
Mortify;Унижение;Special;fnmp;WB;instant;en;NM;1;1;1;51;
Lavinia, Azorius Renegade;Лавиния, Отступница Азориусов;Special;mgdc;WU;legendary creature;ru;NM;1;1;1;136;
Rakdos Firewheeler;Огненный Акробат Ракдосов;Special;ohp;BR;creature;ru;NM;1;1;1;29;
Hero of Precinct One;Герой Первого Округа;Rare;rna;W;creature;ru;NM;0;6;6;31;
Ugin, the Ineffable;Уджин, Невыразимый;Rare;war;;legendary planeswalker;ru;NM;0;1;1;276;
Finale of Glory;Апофеоз Славы;Mythic Rare;war;W;sorcery;ru;NM;0;1;1;145;
Ignite the Beacon;Зажечь Маяк;Rare;war;W;instant;ru;NM;0;2;2;29;
Parhelion II;«Паргелион II»;Rare;war;W;legendary artifact;ru;NM;0;1;1;26;
Ravnica at War;Война в Равнике;Rare;war;W;sorcery;ru;NM;0;1;1;28;
Single Combat;Поединок;Rare;war;W;sorcery;ru;NM;0;2;2;31;
Tomik, Distinguished Advokist;Тамик, Выдающийся Адвокист;Rare;war;W;legendary creature;ru;NM;0;4;4;32;
Fblthp, the Lost;Фыблтып, Заблудившийся;Rare;war;U;legendary creature;ru;NM;0;1;1;32;
God-Eternal Kefnet;Вековечный Бог Кефнет;Mythic Rare;war;U;legendary creature;jp;NM;0;1;1;285;
Jace, Wielder of Mysteries;Джейс, Повелитель Тайн;Rare;war;U;legendary planeswalker;en;NM;0;0;0;371;
Narset, Parter of Veils;Нарсет, Раздвинувшая Завесы;Uncommon;war;U;legendary planeswalker;ru;NM;0;1;1;85;
Narset's Reversal;Обращение Нарсет;Rare;war;U;instant;ru;NM;0;4;4;386;
Spark Double;Двойник Искры;Rare;war;U;creature;ru;NM;0;5;5;495;
Command the Dreadhorde;Повелевание Ордой Ужаса;Rare;war;B;sorcery;ru;NM;0;1;1;62;
Davriel, Rogue Shadowmage;Давриэль, Мятежный Маг Тени;Uncommon;war;B;legendary planeswalker;ru;NM;0;1;1;29;
The Elderspell;Заклинание Старейшин;Rare;war;B;sorcery;ru;NM;0;2;2;55;
Liliana, Dreadhorde General;Лилиана, Генерал Орды Ужаса;Mythic Rare;war;B;legendary planeswalker;ru;NM;0;2;2;1924;
Liliana, Dreadhorde General;Лилиана, Генерал Орды Ужаса;Mythic Rare;war;B;legendary planeswalker;ru;SP;0;1;1;1924;
Dreadhorde Arcanist;Арканист Орды Ужаса;Rare;war;R;creature;ru;NM;0;1;1;197;
Krenko, Tin Street Kingpin;Кренко, Гроза Улицы Жестянщиков;Rare;war;R;legendary creature;ru;NM;0;4;4;120;
Neheb, Dreadhorde Champion;Нехеб, Поборник Орды Ужаса;Rare;war;R;legendary creature;ru;NM;0;1;1;54;
Sarkhan the Masterless;Сархан без Господина;Rare;war;R;legendary planeswalker;jp;NM;0;2;2;57;
Tibalt, Rakish Instigator;Тибальт, Распутный Подстрекатель;Uncommon;war;R;legendary planeswalker;ru;NM;0;2;2;24;
Nissa, Who Shakes the World;Нисса, Сотрясающая Мир;Rare;war;G;legendary planeswalker;en;NM;0;1;1;357;
Planewide Celebration;Всемирное Торжество;Rare;war;G;sorcery;ru;NM;0;2;2;38;
Vivien, Champion of the Wilds;Вивьен, Заступница Диких Земель;Rare;war;G;legendary planeswalker;ru;NM;0;1;1;149;
Angrath's Rampage;Бешенство Анграта;Uncommon;war;BR;sorcery;ru;NM;0;1;1;25;
Bioessence Hydra;Гидра Биоэссенции;Rare;war;UG;creature;ru;NM;0;4;4;26;
Casualties of War;Жертвы Войны;Rare;war;BG;sorcery;ru;NM;0;1;1;71;
Despark;Лишение Искры;Uncommon;war;WB;instant;ru;NM;0;1;1;31;
Domri, Anarch of Bolas;Домри, Анарх Боласа;Rare;war;RG;legendary planeswalker;ru;NM;0;4;4;91;
Dovin's Veto;Вето Довина;Uncommon;war;WU;instant;ru;NM;0;1;1;95;
Feather, the Redeemed;Перышко, Искупившая Грехи;Rare;war;WR;legendary creature;ru;NM;0;1;1;64;
Heartwarming Redemption;Трогательное Искупление;Uncommon;war;WR;instant;ru;NM;1;1;1;48;
Living Twister;Живой Смерч;Rare;war;RG;creature;ru;NM;0;1;1;26;
Neoform;Неоформа;Uncommon;war;UG;sorcery;ru;NM;0;1;1;47;
Nicol Bolas, Dragon-God;Никол Болас, Дракон-Бог;Mythic Rare;war;UBR;legendary planeswalker;ru;NM;0;2;2;642;
Nicol Bolas, Dragon-God;Никол Болас, Дракон-Бог;Mythic Rare;war;UBR;legendary planeswalker;ru;SP;0;1;1;642;
Niv-Mizzet Reborn;Нив-Миззет, Переродившийся;Mythic Rare;war;WUBRG;legendary creature;ru;NM;0;1;1;232;
Oath of Kaya;Клятва Кайи;Rare;war;WB;legendary enchantment;ru;NM;0;3;3;37;
Ral, Storm Conduit;Рал, Проводник Молний;Rare;war;UR;legendary planeswalker;ru;NM;0;4;4;133;
Role Reversal;Обмен Ролями;Rare;war;UR;sorcery;ru;NM;0;4;4;27;
Solar Blaze;Сияние Солнца;Rare;war;WR;sorcery;ru;NM;1;1;1;53;
Soul Diviner;Гадатель по Душам;Rare;war;UB;creature;ru;NM;0;5;5;27;
Storrev, Devkarin Lich;Сторрев, Лич-Девкарен;Rare;war;BG;legendary creature;ru;NM;0;1;1;32;
Storrev, Devkarin Lich;Сторрев, Лич-Девкарен;Rare;war;BG;legendary creature;ru;SP;0;1;1;32;
Tamiyo, Collector of Tales;Тамиё, Собирательница Историй;Rare;war;UG;legendary planeswalker;ru;NM;0;3;3;62;
Teferi, Time Raveler;Тефери, Спутывающий Время;Rare;war;WU;legendary planeswalker;ru;NM;0;1;1;990;
Teferi, Time Raveler;Тефери, Спутывающий Время;Rare;war;WU;legendary planeswalker;en;NM;0;1;1;990;
Tolsimir, Friend to Wolves;Толсимир, Друг Волков;Rare;war;WG;legendary creature;ru;NM;0;1;1;32;
Widespread Brutality;Повсеместная Жестокость;Rare;war;BR;sorcery;ru;NM;0;1;1;25;
Ashiok, Dream Render;Ашиок, Кромсатель Снов;Uncommon;war;UB;legendary planeswalker;ru;NM;0;1;1;119;
God-Pharaoh's Statue;Статуя Бога-Фараона;Uncommon;war;;legendary artifact;ru;NM;0;1;1;26;
Blast Zone;Область Поражения;Rare;war;;land;ru;NM;0;2;2;230;
Blast Zone;Область Поражения;Rare;war;;land;ru;SP;0;1;1;230;
Blast Zone;Область Поражения;Rare;war;;land;en;NM;0;1;1;230;
Gideon's Battle Cry;Боевой Клич Гидеона;Rare;war;W;sorcery;ru;NM;0;2;2;26;
Jace's Projection;Проекция Джейса;Uncommon;war;U;creature;ru;NM;0;3;3;84;
God-Eternal Rhonas;Вековечный Бог Ронас;Mythic Rare;ptc;G;legendary creature;ru;NM;1;1;1;1084;
Bolas's Citadel;Цитадель Боласа;Rare;mlp;B;legendary artifact;ru;NM;1;1;1;498;
Time Wipe;Стирание Времени;Rare;mgdc;WU;sorcery;ru;NM;0;1;1;100;
Karn's Bastion;Бастион Карна;Rare;mgdc;;land;ru;NM;1;2;2;150;
Celestial Purge;Небесное Очищение;Uncommon;con;W;instant;en;NM;0;1;1;19;
Paradise Druid;Друидка Райских Кущ;Uncommon;fnmp;G;creature;ru;NM;1;4;4;89;
Augur of Bolas;Гадатель Боласа;Uncommon;fnmp;U;creature;ru;NM;1;1;1;41;
Gideon Jura;---;Mythic Rare;ss2;W;legendary planeswalker;en;NM;0;2;2;64;
Path to Exile;---;Rare;ss2;W;instant;en;NM;1;1;1;385;
Worship;---;Rare;ss2;W;enchantment;en;NM;0;2;2;45;
Morophon, the Boundless;Морофон, Безграничный;Mythic Rare;mh1;;legendary creature;ru;NM;0;3;3;1699;
Answered Prayers;Услышанные Молитвы;Common;mh1;W;enchantment;ru;NM;0;8;8;16;
Battle Screech;Боевой Клекот;Uncommon;mh1;W;sorcery;ru;NM;0;5;5;18;
Dismantling Blow;Разрушительный Удар;Uncommon;mh1;W;instant;ru;NM;0;4;4;16;
Enduring Sliver;Выносливая Щепка;Common;mh1;W;creature;ru;NM;0;4;4;16;
Ephemerate;Разсуществление;Common;mh1;W;instant;ru;NM;0;7;7;97;
Face of Divinity;Лик Божества;Uncommon;mh1;W;enchantment;ru;NM;0;8;8;16;
First Sliver's Chosen;Избранная Первой Щепки;Uncommon;mh1;W;creature;ru;NM;0;4;4;19;
Force of Virtue;Сила Добродетели;Rare;mh1;W;enchantment;ru;NM;0;5;5;45;
Generous Gift;Щедрый Подарок;Uncommon;mh1;W;instant;ru;NM;0;5;5;124;
Gilded Light;Золоченый Свет;Common;mh1;W;instant;ru;NM;0;4;4;13;
Giver of Runes;Дарующая Руны;Rare;mh1;W;creature;ru;NM;0;1;1;513;
Impostor of the Sixth Pride;Самозванец из Шестого Прайда;Common;mh1;W;creature;ru;NM;0;4;4;15;
Irregular Cohort;Непостоянная Когорта;Common;mh1;W;creature;ru;NM;0;4;4;16;
King of the Pride;Царь Прайда;Uncommon;mh1;W;creature;ru;NM;0;4;4;32;
Knight of Old Benalia;Рыцарь Старой Беналии;Common;mh1;W;creature;ru;NM;0;4;4;13;
Lancer Sliver;Копьеносная Щепка;Common;mh1;W;creature;ru;NM;0;4;4;16;
Martyr's Soul;Душа Мученика;Common;mh1;W;creature;ru;NM;0;4;4;14;
Recruit the Worthy;Вербовка Достойных;Common;mh1;W;instant;ru;NM;0;4;4;13;
Reprobation;Отвержение;Common;mh1;W;enchantment;ru;NM;0;4;4;15;
Rhox Veteran;Рокс-Ветеран;Common;mh1;W;creature;ru;NM;0;8;8;13;
Segovian Angel;Ангел из Сеговии;Common;mh1;W;creature;ru;NM;0;4;4;19;
Serra the Benevolent;Всеблагая Серра;Mythic Rare;mh1;W;legendary planeswalker;ru;NM;0;1;1;715;
Settle Beyond Reality;Внереальное Решение;Common;mh1;W;sorcery;ru;NM;0;4;4;14;
Shelter;Убежище;Common;mh1;W;instant;ru;NM;0;4;4;16;
Sisay, Weatherlight Captain;Сисэй, Капитан «Везерлайта»;Rare;mh1;W;legendary creature;ru;NM;0;1;1;63;
Soul-Strike Technique;Техника Удара Духа;Common;mh1;W;enchantment;ru;NM;0;4;4;13;
Splicer's Skill;Мастерство Приращивателя;Uncommon;mh1;W;sorcery;ru;NM;0;4;4;16;
Stirring Address;Вдохновляющее Обращение;Common;mh1;W;instant;ru;NM;0;4;4;14;
Trustworthy Scout;Надежная Разведчица;Common;mh1;W;creature;ru;NM;0;4;4;13;
Valiant Changeling;Храбрый Перевертыш;Uncommon;mh1;W;creature;ru;NM;0;4;4;16;
Vesperlark;Закатный Соловей;Uncommon;mh1;W;creature;ru;NM;0;4;4;16;
Wall of One Thousand Cuts;Стена Тысячи Порезов;Common;mh1;W;creature;ru;NM;0;4;4;13;
Wing Shards;Осколки Крыльев;Uncommon;mh1;W;instant;ru;NM;0;4;4;16;
Zhalfirin Decoy;Жалфирский Приманщик;Uncommon;mh1;W;creature;ru;NM;0;4;4;16;
Archmage's Charm;Талисман Архимага;Rare;mh1;U;instant;ru;NM;0;1;1;1041;
Bazaar Trademage;Базарный Маг-Купец;Rare;mh1;U;creature;ru;NM;0;2;2;26;
Blizzard Strix;Вьюжная Неясыть;Uncommon;mh1;U;creature;ru;NM;0;8;8;16;
Chillerpillar;Снегусеница;Common;mh1;U;creature;ru;NM;0;4;4;16;
Choking Tethers;Удушающие Узы;Common;mh1;U;instant;ru;NM;0;4;4;13;
Cunning Evasion;Хитроумное Уклонение;Uncommon;mh1;U;enchantment;ru;NM;0;8;8;17;
Everdream;Вечные Грезы;Uncommon;mh1;U;instant;ru;NM;0;8;8;16;
Exclude;Исключение;Uncommon;mh1;U;instant;ru;NM;0;8;8;16;
Eyekite;Зоркий Змей;Common;mh1;U;creature;ru;NM;0;4;4;13;
Fact or Fiction;Факт или Вымысел;Uncommon;mh1;U;instant;ru;NM;0;8;8;24;
Faerie Seer;Фея-Провидец;Common;mh1;U;creature;ru;NM;0;4;4;25;
Future Sight;Взгляд в Будущее;Rare;mh1;U;enchantment;ru;NM;0;3;3;32;
Iceberg Cancrix;Айсберговый Канкрикс;Common;mh1;U;creature;ru;NM;0;4;4;13;
Man-o'-War;Физалия;Common;mh1;U;creature;ru;NM;0;4;4;16;
Marit Lage's Slumber;Сон Марит Лейдж;Rare;mh1;U;legendary enchantment;ru;NM;0;1;1;61;
Mirrodin Besieged;Осада Мирродина;Rare;mh1;U;enchantment;ru;NM;0;3;3;86;
Moonblade Shinobi;Синоби Лунного Клинка;Common;mh1;U;creature;ru;NM;0;4;4;16;
Oneirophage;Онейрофаг;Uncommon;mh1;U;creature;ru;NM;0;8;8;16;
Phantasmal Form;Призрачный Облик;Common;mh1;U;instant;ru;NM;0;4;4;14;
Phantom Ninja;Призрачный Ниндзя;Common;mh1;U;creature;ru;NM;0;4;4;16;
Pondering Mage;Задумчивый Маг;Common;mh1;U;creature;ru;NM;0;4;0;16;
Prohibit;Воспрещение;Common;mh1;U;instant;ru;NM;0;4;4;15;
Rain of Revelation;Дождь Откровения;Common;mh1;U;instant;ru;NM;0;4;4;13;
Rebuild;Восстановление;Uncommon;mh1;U;instant;ru;NM;0;8;8;17;
Scour All Possibilities;Проработка Возможностей;Common;mh1;U;sorcery;ru;NM;0;4;4;16;
Scuttling Sliver;Проворная Щепка;Uncommon;mh1;U;creature;ru;NM;0;7;7;20;
Smoke Shroud;Дымовая Завеса;Common;mh1;U;enchantment;ru;NM;0;4;4;16;
Spell Snuff;Затушить Заклинание;Common;mh1;U;instant;ru;NM;0;4;4;13;
Stream of Thought;Поток Мыслей;Common;mh1;U;sorcery;ru;NM;0;4;4;15;
String of Disappearances;Цепочка Исчезновений;Common;mh1;U;instant;ru;NM;0;4;4;15;
Tribute Mage;Маг Дани;Uncommon;mh1;U;creature;ru;NM;0;8;8;75;
Twisted Reflection;Искаженное Отражение;Uncommon;mh1;U;instant;ru;NM;0;8;8;16;
Watcher for Tomorrow;Стражник Грядущего;Uncommon;mh1;U;creature;ru;NM;0;8;8;28;
Windcaller Aven;Авен, Заклинательница Ветра;Common;mh1;U;creature;ru;NM;0;4;4;15;
Winter's Rest;Зимний Покой;Common;mh1;U;enchantment;ru;NM;0;4;4;13;
Azra Smokeshaper;Азра-Заклинатель Дыма;Common;mh1;B;creature;ru;NM;0;4;4;16;
Cabal Therapist;Терапевт Кабала;Rare;mh1;B;creature;ru;NM;0;1;1;32;
Carrion Feeder;Пожиратель Падали;Uncommon;mh1;B;creature;ru;NM;0;12;12;39;
Changeling Outcast;Перевертыш-Изгой;Common;mh1;B;creature;ru;NM;0;4;4;20;
Cordial Vampire;Радушный Вампир;Rare;mh1;B;creature;ru;NM;0;1;1;316;
Crypt Rats;Могильные Крысы;Uncommon;mh1;B;creature;ru;NM;0;4;4;20;
Dead of Winter;Мертвенный Холод;Rare;mh1;B;sorcery;ru;NM;0;4;4;88;
Dead of Winter;Мертвенный Холод;Rare;mh1;B;sorcery;en;NM;0;2;2;88;
Diabolic Edict;Дьявольский Указ;Common;mh1;B;instant;ru;NM;0;4;4;15;
Dregscape Sliver;Щепка Протухшего Болота;Uncommon;mh1;B;creature;ru;NM;0;8;8;25;
Endling;Гибелинг;Rare;mh1;B;creature;ru;NM;0;1;1;32;
Feaster of Fools;Пожиратель Глупцов;Uncommon;mh1;B;creature;ru;NM;0;8;8;16;
First-Sphere Gargantua;Исполин с Первой Сферы;Common;mh1;B;creature;ru;NM;0;4;4;15;
Force of Despair;Сила Отчаяния;Rare;mh1;B;instant;ru;NM;0;3;3;118;
Gluttonous Slug;Прожорливый Слизень;Common;mh1;B;creature;ru;NM;0;4;4;13;
Graveshifter;Могильный Двойник;Uncommon;mh1;B;creature;ru;NM;0;7;7;27;
Headless Specter;Безголовый Призрак;Common;mh1;B;creature;ru;NM;0;4;4;13;
Mind Rake;Выскабливание Разума;Common;mh1;B;sorcery;ru;NM;0;4;4;15;
Mob;Сбор Толпы;Common;mh1;B;instant;ru;NM;0;4;4;13;
Nether Spirit;Глубинный Дух;Rare;mh1;B;creature;ru;NM;0;4;4;26;
Ninja of the New Moon;Ниндзя Новолуния;Common;mh1;B;creature;ru;NM;0;4;4;14;
Putrid Goblin;Прогнивший Гоблин;Common;mh1;B;creature;ru;NM;0;4;4;16;
Rank Officer;Зловонный Офицер;Common;mh1;B;creature;ru;NM;0;4;4;13;
Ransack the Lab;Обыск в Лаборатории;Common;mh1;B;sorcery;ru;NM;0;4;4;16;
Return from Extinction;Возвращение из Небытия;Common;mh1;B;sorcery;ru;NM;0;4;4;16;
Sadistic Obsession;Жестокая Одержимость;Uncommon;mh1;B;enchantment;ru;NM;0;8;4;16;
Shatter Assumptions;Крах Предположений;Uncommon;mh1;B;sorcery;ru;NM;0;8;8;16;
Silumgar Scavenger;Силумгарский Падальщик;Common;mh1;B;creature;ru;NM;0;4;4;13;
Sling-Gang Lieutenant;Лейтенант Рогаточников;Uncommon;mh1;B;creature;ru;NM;0;8;8;23;
Smiting Helix;Разящая Спираль;Uncommon;mh1;B;sorcery;ru;NM;0;8;8;16;
Throatseeker;Кровопийца;Uncommon;mh1;B;creature;ru;NM;0;8;8;16;
Umezawa's Charm;Талисман Умезавы;Common;mh1;B;instant;ru;NM;0;4;4;13;
Undead Augur;Неживой Гадатель;Uncommon;mh1;B;creature;ru;NM;0;8;8;27;
Unearth;Откопать;Common;mh1;B;sorcery;ru;NM;0;4;4;19;
Venomous Changeling;Ядовитый Перевертыш;Common;mh1;B;creature;ru;NM;0;4;4;15;
Warteye Witch;Знахарь Бородавчатого Глаза;Common;mh1;B;creature;ru;NM;0;4;4;13;
Alpine Guide;Горный Проводник;Uncommon;mh1;R;creature;ru;NM;0;4;4;16;
Aria of Flame;Ария Пламени;Rare;mh1;R;enchantment;ru;NM;0;4;4;96;
Bladeback Sliver;Мечеспинная Щепка;Common;mh1;R;creature;ru;NM;0;4;4;16;
Bogardan Dragonheart;Богарданец с Сердцем Дракона;Common;mh1;R;creature;ru;NM;0;4;4;13;
Cleaving Sliver;Рубящая Щепка;Common;mh1;R;creature;ru;NM;0;4;4;16;
Firebolt;Огненная Стрела;Uncommon;mh1;R;sorcery;ru;NM;0;4;4;16;
Fists of Flame;Кулаки Пламени;Common;mh1;R;instant;ru;NM;0;4;4;16;
Geomancer's Gambit;Гамбит Геоманта;Common;mh1;R;sorcery;ru;NM;0;4;4;13;
Goatnap;Козокрадство;Common;mh1;R;sorcery;ru;NM;0;4;4;14;
Goblin Champion;Гоблин-Воитель;Common;mh1;R;creature;ru;NM;0;4;4;15;
Goblin Engineer;Гоблин-Инженер;Rare;mh1;R;creature;ru;NM;0;4;4;197;
Goblin Matron;Гоблинская Матрона;Uncommon;mh1;R;creature;ru;NM;0;4;4;40;
Goblin Oriflamme;Гоблинская Хоругвь;Uncommon;mh1;R;enchantment;ru;NM;0;4;4;16;
Goblin War Party;Гоблинский Боевой Отряд;Common;mh1;R;sorcery;ru;NM;0;4;4;15;
Hollowhead Sliver;Пустоголовая Щепка;Uncommon;mh1;R;creature;ru;NM;0;8;8;23;
Igneous Elemental;Пламенный Элементаль;Common;mh1;R;creature;ru;NM;0;4;4;13;
Lava Dart;Лавовый Дротик;Common;mh1;R;instant;ru;NM;0;4;4;16;
Lava Dart;Лавовый Дротик;Common;mh1;R;instant;en;NM;0;4;4;15;
Magmatic Sinkhole;Магмовая Воронка;Common;mh1;R;instant;ru;NM;0;8;8;16;
Orcish Hellraiser;Бесноватая Орчиха;Common;mh1;R;creature;ru;NM;0;4;4;13;
Ore-Scale Guardian;Стражник Рудной Чешуи;Uncommon;mh1;R;creature;ru;NM;0;4;4;16;
Pashalik Mons;Пашалик Монс;Rare;mh1;R;legendary creature;ru;NM;0;6;6;93;
Pillage;Разграбление;Uncommon;mh1;R;sorcery;ru;NM;0;4;4;16;
Pyrophobia;Пирофобия;Common;mh1;R;sorcery;ru;NM;0;4;4;13;
Quakefoot Cyclops;Циклоп Сотрясающей Поступи;Common;mh1;R;creature;ru;NM;0;4;4;13;
Ravenous Giant;Ненасытный Гигант;Uncommon;mh1;R;creature;ru;NM;0;4;4;16;
Reckless Charge;Безрассудный Рывок;Common;mh1;R;sorcery;ru;NM;0;4;4;13;
Shenanigans;Проказы;Common;mh1;R;sorcery;ru;NM;0;4;4;16;
Spinehorn Minotaur;Шипорогий Минотавр;Common;mh1;R;creature;ru;NM;0;4;4;13;
Spiteful Sliver;Злобная Щепка;Rare;mh1;R;creature;ru;NM;0;2;2;100;
Tectonic Reformation;Тектоническое Преобразование;Rare;mh1;R;enchantment;ru;NM;0;4;4;32;
Throes of Chaos;Спазмы Хаоса;Uncommon;mh1;R;sorcery;ru;NM;0;4;4;16;
Urza's Rage;Ярость Урзы;Uncommon;mh1;R;instant;ru;NM;0;4;4;16;
Vengeful Devil;Мстительный Дьявол;Uncommon;mh1;R;creature;ru;NM;0;4;4;16;
Viashino Sandsprinter;Песчаный Гонец Виашино;Common;mh1;R;creature;ru;NM;0;4;4;14;
Volatile Claws;Переменчивые Когти;Common;mh1;R;instant;ru;NM;0;4;4;14;
Ayula, Queen Among Bears;Аюла, Королева Среди Медведей;Rare;mh1;G;legendary creature;ru;NM;0;1;1;32;
Ayula's Influence;Влияние Аюлы;Rare;mh1;G;enchantment;ru;NM;0;1;1;31;
Bellowing Elk;Ревущий Олень;Common;mh1;G;creature;ru;NM;0;4;4;13;
Conifer Wurm;Хвойный Вурм;Uncommon;mh1;G;creature;ru;NM;0;4;4;16;
Crashing Footfalls;Громовой Топот;Rare;mh1;;sorcery;ru;NM;0;2;1;231;
Elvish Fury;Ярость Эльфов;Common;mh1;G;instant;ru;NM;0;4;4;13;
Excavating Anurid;Роющийся Анурид;Common;mh1;G;creature;ru;NM;0;4;4;13;
Frostwalla;Фроствалла;Common;mh1;G;creature;ru;NM;0;4;4;13;
Glacial Revelation;Ледяное Откровение;Uncommon;mh1;G;sorcery;ru;NM;0;4;4;20;
Krosan Tusker;Кросанский Клыкач;Common;mh1;G;creature;ru;NM;0;4;4;15;
Llanowar Tribe;Лановарское Племя;Uncommon;mh1;G;creature;ru;NM;0;5;5;32;
Mother Bear;Мать-Медведица;Common;mh1;G;creature;ru;NM;0;4;4;14;
Murasa Behemoth;Чудище из Мурасы;Common;mh1;G;creature;ru;NM;0;4;4;12;
Nantuko Cultivator;Нантуко-Возделыватель;Uncommon;mh1;G;creature;ru;NM;0;8;8;16;
Nimble Mongoose;Юркий Мангуст;Common;mh1;G;creature;ru;NM;0;4;4;15;
Regrowth;Отрастание;Uncommon;mh1;G;sorcery;ru;NM;0;4;4;32;
Rime Tender;Инеевая Хранительница;Common;mh1;G;creature;ru;NM;0;4;4;16;
Saddled Rimestag;Оседланный Олень Инея;Uncommon;mh1;G;creature;ru;NM;0;8;8;16;
Savage Swipe;Дикий Замах;Common;mh1;G;sorcery;ru;NM;0;4;4;16;
Scale Up;Взрывной Рост;Uncommon;mh1;G;sorcery;ru;NM;0;4;4;38;
Spore Frog;Спороносная Лягушка;Common;mh1;G;creature;ru;NM;0;4;4;16;
